Wavelength_nm 1 2 3 4 5 6
575.5 -0.0028 0.0017 -0.0013 0.0001 -0.0011 -0.0055
576.0 -0.0030 0.0016 -0.0014 0.0004 -0.0012 -0.0054
576.5 -0.0028 0.0013 -0.0017 -0.0001 -0.0012 -0.0054
577.0 -0.0031 0.0014 -0.0016 0.0002 -0.0010 -0.0054
577.5 -0.0026 0.0015 -0.0014 0.0006 -0.0009 -0.0050
578.0 -0.0026 0.0014 -0.0016 0.0005 -0.0010 -0.0050
578.5 -0.0027 0.0015 -0.0016 0.0005 -0.0009 -0.0051
579.0 -0.0024 0.0009 -0.0017 0.0002 -0.0011 -0.0053
579.5 -0.0027 0.0012 -0.0019 0.0002 -0.0009 -0.0051
580.0 -0.0028 0.0008 -0.0022 0.0003 -0.0009 -0.0054
580.5 -0.0024 0.0011 -0.0019 0.0004 -0.0008 -0.0050
581.0 -0.0029 0.0003 -0.0022 0.0000 -0.0013 -0.0052
581.5 -0.0027 0.0008 -0.0022 0.0002 -0.0010 -0.0052
582.0 -0.0026 0.0006 -0.0023 0.0003 -0.0009 -0.0050
582.5 -0.0023 0.0005 -0.0021 0.0003 -0.0010 -0.0049
583.0 -0.0026 0.0006 -0.0021 0.0002 -0.0008 -0.0049
583.5 -0.0022 0.0008 -0.0020 0.0003 -0.0009 -0.0049
584.0 -0.0025 0.0001 -0.0024 0.0001 -0.0010 -0.0048
584.5 -0.0027 0.0003 -0.0025 -0.0001 -0.0010 -0.0051
585.0 -0.0023 0.0003 -0.0022 0.0001 -0.0009 -0.0048
585.5 -0.0025 0.0001 -0.0025 0.0001 -0.0008 -0.0048
586.0 -0.0023 0.0001 -0.0024 0.0001 -0.0009 -0.0047
586.5 -0.0025 0.0000 -0.0025 0.0000 -0.0009 -0.0048
587.0 -0.0021 0.0002 -0.0023 0.0001 -0.0008 -0.0045
587.5 -0.0024 0.0003 -0.0024 0.0004 -0.0007 -0.0046
588.0 -0.0023 0.0000 -0.0026 0.0001 -0.0006 -0.0045
588.5 -0.0026 -0.0004 -0.0028 -0.0002 -0.0012 -0.0048
589.0 -0.0023 -0.0001 -0.0026 0.0001 -0.0011 -0.0047
589.5 -0.0026 -0.0003 -0.0029 -0.0003 -0.0010 -0.0047
590.0 -0.0022 -0.0001 -0.0023 0.0000 -0.0007 -0.0043
590.5 -0.0022 -0.0003 -0.0027 0.0002 -0.0008 -0.0045
591.0 -0.0025 -0.0005 -0.0027 -0.0001 -0.0008 -0.0046
591.5 -0.0025 -0.0007 -0.0029 -0.0003 -0.0008 -0.0048
592.0 -0.0022 -0.0006 -0.0029 -0.0003 -0.0008 -0.0047
592.5 -0.0023 -0.0006 -0.0028 -0.0001 -0.0010 -0.0047
593.0 -0.0024 -0.0006 -0.0029 -0.0003 -0.0007 -0.0047
593.5 -0.0024 -0.0006 -0.0031 -0.0003 -0.0010 -0.0047
594.0 -0.0023 -0.0007 -0.0029 -0.0002 -0.0010 -0.0044
594.5 -0.0025 -0.0008 -0.0029 -0.0003 -0.0013 -0.0045
595.0 -0.0022 -0.0007 -0.0028 -0.0001 -0.0010 -0.0044
595.5 -0.0020 -0.0006 -0.0029 -0.0001 -0.0007 -0.0043
596.0 -0.0023 -0.0008 -0.0031 0.0000 -0.0006 -0.0044
596.5 -0.0022 -0.0007 -0.0028 -0.0004 -0.0008 -0.0043
597.0 -0.0022 -0.0006 -0.0029 0.0000 -0.0006 -0.0040
597.5 -0.0021 -0.0009 -0.0028 -0.0004 -0.0009 -0.0042
598.0 -0.0018 -0.0008 -0.0030 -0.0002 -0.0008 -0.0042
598.5 -0.0021 -0.0009 -0.0032 -0.0004 -0.0007 -0.0043
599.0 -0.0022 -0.0010 -0.0032 -0.0003 -0.0008 -0.0042
599.5 -0.0023 -0.0009 -0.0033 -0.0004 -0.0010 -0.0041
600.0 -0.0022 -0.0011 -0.0034 -0.0003 -0.0008 -0.0042
600.5 -0.0020 -0.0012 -0.0032 -0.0003 -0.0009 -0.0043
601.0 -0.0022 -0.0012 -0.0031 -0.0002 -0.0008 -0.0041
601.5 -0.0022 -0.0012 -0.0033 -0.0004 -0.0009 -0.0042
602.0 -0.0022 -0.0013 -0.0032 -0.0006 -0.0009 -0.0044
602.5 -0.0021 -0.0013 -0.0033 -0.0005 -0.0011 -0.0043
603.0 -0.0020 -0.0011 -0.0034 -0.0002 -0.0009 -0.0041
603.5 -0.0022 -0.0017 -0.0035 -0.0006 -0.0012 -0.0044
604.0 -0.0022 -0.0015 -0.0035 -0.0006 -0.0010 -0.0044
604.5 -0.0023 -0.0014 -0.0036 -0.0003 -0.0011 -0.0044
605.0 -0.0022 -0.0015 -0.0034 -0.0004 -0.0009 -0.0042
605.5 -0.0021 -0.0016 -0.0033 -0.0005 -0.0010 -0.0042
606.0 -0.0025 -0.0017 -0.0035 -0.0010 -0.0012 -0.0045
606.5 -0.0021 -0.0018 -0.0036 -0.0007 -0.0011 -0.0043
607.0 -0.0023 -0.0015 -0.0034 -0.0004 -0.0009 -0.0041
607.5 -0.0021 -0.0016 -0.0034 -0.0005 -0.0009 -0.0043
608.0 -0.0022 -0.0016 -0.0036 -0.0006 -0.0010 -0.0041
608.5 -0.0022 -0.0016 -0.0037 -0.0007 -0.0010 -0.0042
609.0 -0.0022 -0.0018 -0.0034 -0.0005 -0.0010 -0.0040
609.5 -0.0021 -0.0016 -0.0035 -0.0004 -0.0009 -0.0040
610.0 -0.0021 -0.0020 -0.0037 -0.0006 -0.0010 -0.0040
610.5 -0.0021 -0.0020 -0.0036 -0.0008 -0.0010 -0.0040
611.0 -0.0019 -0.0016 -0.0031 -0.0006 -0.0007 -0.0038
611.5 -0.0020 -0.0018 -0.0033 -0.0006 -0.0006 -0.0037
612.0 -0.0020 -0.0016 -0.0036 -0.0006 -0.0006 -0.0040
612.5 -0.0022 -0.0018 -0.0036 -0.0007 -0.0010 -0.0042
613.0 -0.0020 -0.0018 -0.0034 -0.0006 -0.0010 -0.0039
613.5 -0.0019 -0.0020 -0.0037 -0.0007 -0.0009 -0.0041
614.0 -0.0021 -0.0020 -0.0035 -0.0009 -0.0009 -0.0040
